Date,Country,Competition,HomeTeam,AwayTeam,FT_HomeScore,FT_AwayScore,HT_HomeScore,HT_AwayScore,FT_HomeOdds,FT_DrawOdds,FT_AwayOdds,1H_HomeOdds,1H_DrawOdds,1H_AwayOdds,2H_HomeOdds,2H_DrawOdds,2H_AwayOdds,OU05_Over,OU05_Under,OU15_Over,OU15_Under,OU25_Over,OU25_Under,OU35_Over,OU35_Under,OU45_Over,OU45_Under,BTTS_Yes,BTTS_No,BTTS_1H_Yes,BTTS_1H_No,BTTS_2H_Yes,BTTS_2H_No,DNB_Home,DNB_Away,DC_1X,DC_12,DC_2X,URL
01 Mar 2026,Italy,Serie A,Cremonese,AC Milan,0,2,0,0,8.00,4.75,1.38,7.50,2.50,1.83,6.50,2.75,1.67,,,,,,,,,6.70,1.10,6.50,1.11,5.02,1.19,4.30,1.21,6.50,1.11,3.00,1.18,1.08,https://www.oddsportal.com/football/italy/serie-a/cremonese-ac-milan-d6IBGyNk/
01 Mar 2026,Italy,Serie A,Inter,Genoa,2,0,1,0,1.30,5.75,8.50,1.73,2.60,8.50,1.57,2.88,7.00,1.32,4.95,,,,,,,1.32,5.20,1.08,8.00,1.15,5.79,1.17,4.90,1.08,8.00,1.08,1.14,3.40,https://www.oddsportal.com/football/italy/serie-a/inter-genoa-IL6KEFi2/
01/02/2009,Italy,Serie A,Napoli,Udinese,2,2,2,2,1.91,3.2,4.5,2.5,2.1,5.0,,,,,,1.27,3.4,1.91,1.95,3.35,1.28,,,,,,,,,,,1.2,1.3,1.8,https://www.oddsportal.com/football/italy/serie-a-2008-2009/napoli-udinese-EgaEhSlj/
01/02/2009,Italy,Serie A,Juventus,Cagliari,2,3,2,1,1.4,4.33,8.5,1.75,2.63,8.0,,,,,,1.19,4.2,1.8,2.04,2.8,1.39,,,,,,,,,,,1.04,1.17,3.0,https://www.oddsportal.com/football/italy/serie-a-2008-2009/juventus-cagliari-hpbIin4d/
01/02/2010,Italy,Serie A,AS Roma,Siena,2,1,1,1,1.36,4.33,10.0,1.75,2.5,9.0,,,,,,1.22,3.95,1.8,2.1,3.0,1.35,,,,,,,,,,,,,,https://www.oddsportal.com/football/italy/serie-a-2009-2010/as-roma-siena-hfCW9DWC/
01/02/2010,Italy,Serie A,Cagliari,Fiorentina,2,2,1,1,2.5,3.1,3.0,3.2,2.0,3.5,,,,,,1.31,3.2,2.04,1.8,3.7,1.24,,,,,,,,,1.73,2.0,1.36,1.33,1.5,https://www.oddsportal.com/football/italy/serie-a-2009-2010/cagliari-fiorentina-OCexJH9Q/
01/02/2010,Italy,Serie A,AC Milan,Livorno,1,1,1,0,1.29,5.0,12.0,1.62,2.75,10.0,,,,,,1.19,4.2,1.73,2.08,2.8,1.39,,,,,,,,,1.06,9.0,1.02,1.12,3.5,https://www.oddsportal.com/football/italy/serie-a-2009-2010/ac-milan-livorno-KSbPBZ10/
01/02/2010,Italy,Serie A,Chievo,Bologna,1,1,0,1,1.91,3.0,4.75,2.5,1.91,5.0,,,,,,1.38,2.85,2.25,1.62,4.25,1.19,,,,,,,,,1.33,3.25,1.13,1.36,1.8,https://www.oddsportal.com/football/italy/serie-a-2009-2010/chievo-bologna-6y1XJcfK/
01/02/2010,Italy,Serie A,Sampdoria,Atalanta,2,0,2,0,2.1,3.1,3.75,2.8,2.0,4.33,,,,,,1.34,3.05,2.15,1.73,3.9,1.22,,,,,,,,,1.5,2.5,1.25,1.33,1.67,https://www.oddsportal.com/football/italy/serie-a-2009-2010/sampdoria-atalanta-Sp2TKwuE/
01/02/2010,Italy,Serie A,Catania,Udinese,1,1,0,1,2.29,3.2,3.2,3.0,2.1,3.75,,,,,,1.38,2.85,2.2,1.65,4.25,1.19,,,,,,,,,1.62,2.2,1.33,1.33,1.57,https://www.oddsportal.com/football/italy/serie-a-2009-2010/catania-udinese-WpBz9XoJ/
